Rk,Player,Pos,Squad,Age,Born,90s played,Yellow Card,Red Card,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interception,Takles won,Pos_primary,Squad_clean,Stage
1,Brenden Aaronson,MF,us USA,25,2000,0.8,0,0,0,2,1,0,1,0,1,MF,USA,Reached Knockouts
2,Thelo Aasgaard,MF,no Norway,24,2002,1.0,0,0,0,0,3,0,0,3,1,MF,Norway,Reached Knockouts
3,Hamza Abdelkarim,FW,eg Egypt,18,2008,0.7,0,0,0,2,0,0,0,0,0,FW,Egypt,Reached Knockouts
4,Hossam Abdelmaguid,DF,eg Egypt,25,2001,0.7,0,0,0,1,0,0,0,1,0,DF,Egypt,Reached Knockouts
5,Mohamed Abdelmonem,DF,eg Egypt,27,1999,0.2,0,0,0,1,0,0,0,0,0,DF,Egypt,Reached Knockouts
6,Ali Abdi,DF,tn Tunisia,32,1993,3.0,0,0,0,4,1,0,4,4,8,DF,Tunisia,Group Stage Exit
7,Saud Abdulhamid,DF,sa Saudi Arabia,26,1999,3.0,1,0,0,4,2,0,5,2,9,DF,Saudi Arabia,Group Stage Exit
8,Abdulla Abdullaev,DF,uz Uzbekistan,28,1997,2.0,0,0,0,5,1,0,0,3,2,DF,Uzbekistan,Group Stage Exit
9,Yusuf Abdurisag,FW,qa Qatar,26,1999,1.1,0,0,0,1,2,0,0,1,2,FW,Qatar,Group Stage Exit
10,Husam Abu Dahab,DF,jo Jordan,26,2000,2.0,1,0,0,2,1,0,0,0,3,DF,Jordan,Group Stage Exit
11,Mohammad Abu Hasheesh,DF,jo Jordan,31,1995,0.1,0,0,0,0,0,0,0,0,2,DF,Jordan,Group Stage Exit
12,Mohannad Abu Taha,DF,jo Jordan,23,2003,2.9,1,0,0,2,1,0,5,6,2,DF,Jordan,Group Stage Exit
13,Mo Abualnadi,DF,jo Jordan,25,2001,0.8,0,0,0,0,0,0,0,0,0,DF,Jordan,Group Stage Exit
16,Elias Achouri,FWMF,tn Tunisia,27,1999,0.5,0,0,0,0,1,1,0,0,2,FWMF,Tunisia,Group Stage Exit
17,Ché Adams,FW,sct Scotland,29,1996,1.6,0,0,0,4,2,0,0,0,1,FW,Scotland,Group Stage Exit
18,Jayden Adams,MF,za South Africa,25,2001,1.3,0,0,0,0,0,0,0,2,0,MF,South Africa,Reached Knockouts
19,Tyler Adams,MF,us USA,27,1999,3.8,1,0,0,5,6,0,0,8,5,MF,USA,Reached Knockouts
20,Ricardo Adé,DF,ht Haiti,36,1990,3.0,0,0,0,6,4,0,1,5,2,DF,Haiti,Group Stage Exit
22,Simon Adingra,FWMF,ci Côte d'Ivoire,24,2002,0.2,0,0,0,0,0,0,1,0,0,FWMF,Côte d'Ivoire,Reached Knockouts
23,Jonas Adjetey,DF,gh Ghana,22,2003,2.5,0,0,0,1,0,0,0,1,3,DF,Ghana,Reached Knockouts
24,Michel Aebischer,MFFW,ch Switzerland,29,1997,1.7,0,0,0,3,2,0,6,0,1,MFFW,Switzerland,Reached Knockouts
25,Akram Afif,FWMF,qa Qatar,29,1996,2.6,0,0,0,0,4,2,11,0,1,FWMF,Qatar,Group Stage Exit
26,Emmanuel Agbadou,DF,ci Côte d'Ivoire,28,1997,3.0,0,0,0,0,0,0,0,4,6,DF,Côte d'Ivoire,Reached Knockouts
28,Ali Ahmed,MF,ca Canada,25,2000,2.6,0,0,0,1,5,0,13,3,2,MF,Canada,Reached Knockouts
29,Homam Ahmed,DF,qa Qatar,26,1999,1.4,0,1,0,4,0,0,3,3,1,DF,Qatar,Group Stage Exit
30,Rayan Aït-Nouri,DF,dz Algeria,25,2001,3.2,0,0,0,6,4,0,8,5,13,DF,Algeria,Reached Knockouts
31,Kristoffer Ajer,DF,no Norway,28,1998,5.3,1,0,0,2,1,0,1,4,8,DF,Norway,Reached Knockouts
32,Manuel Akanji,DF,ch Switzerland,30,1995,6.7,0,0,0,4,4,0,0,6,9,DF,Switzerland,Reached Knockouts
33,Nathan Aké,DF,nl Netherlands,31,1995,1.9,0,0,0,2,2,0,1,4,0,DF,Netherlands,Reached Knockouts
34,Yunus Akgün,MF,tr Türkiye,25,2000,1.0,1,0,0,2,1,0,2,0,0,MF,Türkiye,Group Stage Exit
35,Maghnes Akliouche,MF,fr France,24,2002,0.1,0,0,0,0,0,0,1,0,0,MF,France,Reached Knockouts
36,Kerem Aktürko?lu,FW,tr Türkiye,27,1998,1.4,0,0,0,0,2,0,1,0,1,FW,Türkiye,Group Stage Exit
37,Ahmed Alaaeldin,FW,qa Qatar,33,1993,0.5,0,0,0,1,1,0,0,0,1,FW,Qatar,Group Stage Exit
38,David Alaba,DF,at Austria,33,1992,3.1,0,0,0,2,0,0,1,4,1,DF,Austria,Reached Knockouts
39,Kerim Alajbegovi?,MF,ba BosniaHerz,18,2007,3.1,0,0,0,4,6,1,15,2,0,MF,BosniaHerz,Reached Knockouts
40,Jordy Alcivar,MF,ec Ecuador,26,1999,0.5,1,0,0,1,0,0,1,0,1,MF,Ecuador,Reached Knockouts
41,Omar Alderete,DF,py Paraguay,29,1996,3.6,0,0,0,2,3,0,0,2,0,DF,Paraguay,Reached Knockouts
42,Almoez Ali,FW,qa Qatar,29,1996,0.2,0,0,0,0,0,0,0,0,0,FW,Qatar,Group Stage Exit
43,Hussein Ali,DF,iq Iraq,24,2002,1.8,0,0,0,1,0,1,1,2,2,DF,Iraq,Group Stage Exit
44,Mohanad Ali,FW,iq Iraq,25,2000,0.1,0,0,0,0,0,0,0,0,0,FW,Iraq,Group Stage Exit
45,Taha Ali,FWMF,se Sweden,27,1998,0.4,0,0,0,0,2,0,1,0,0,FWMF,Sweden,Reached Knockouts
46,Khojiakbar Alijonov,MF,uz Uzbekistan,29,1997,1.5,0,0,0,2,1,0,5,5,2,MF,Uzbekistan,Group Stage Exit
